trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
5001017,09:19:00,09:19:00,1,26,1
5001019,09:09:00,09:09:00,1493,0,1
5001019,,,1349,1,0
5001019,,,1548,2,0
5001019,,,1491,3,0
5001019,,,1306,4,0
5001019,,,1592,5,0
5001019,,,34,6,0
5001019,,,35,7,0
5001019,,,36,8,0
5001019,,,37,9,0
5001019,,,38,10,0
5001019,,,39,11,0
5001019,,,40,12,0
5001019,,,1199,13,0
5001019,,,118,14,0
5001019,,,360,15,0
5001019,,,361,16,0
5001019,,,362,17,0
5001019,,,1159,18,0
5001019,,,52,19,0
5001019,,,53,20,0
5001019,,,55,21,0
5001019,,,56,22,0
5001019,,,1290,23,0
5001019,,,57,24,0
5001019,,,1216,25,0
5001019,09:36:00,09:36:00,1,26,1
5001021,09:26:00,09:26:00,1493,0,1
5001021,,,1349,1,0
5001021,,,1548,2,0
5001021,,,1491,3,0
5001021,,,1306,4,0
5001021,,,1592,5,0
5001021,,,34,6,0
5001021,,,35,7,0
5001021,,,36,8,0
5001021,,,37,9,0
5001021,,,38,10,0
5001021,,,39,11,0
5001021,,,40,12,0
5001021,,,1199,13,0
5001021,,,118,14,0
5001021,,,360,15,0
5001021,,,361,16,0
5001021,,,362,17,0
5001021,,,1159,18,0
5001021,,,52,19,0
5001021,,,53,20,0
5001021,,,55,21,0
5001021,,,56,22,0
5001021,,,1290,23,0
5001021,,,57,24,0
5001021,,,1216,25,0
5001021,09:53:00,09:53:00,1,26,1
5001023,09:43:00,09:43:00,1493,0,1
5001023,,,1349,1,0
5001023,,,1548,2,0
5001023,,,1491,3,0
5001023,,,1306,4,0
5001023,,,1592,5,0
5001023,,,34,6,0
5001023,,,35,7,0
5001023,,,36,8,0
5001023,,,37,9,0
5001023,,,38,10,0
5001023,,,39,11,0
5001023,,,40,12,0
5001023,,,1199,13,0
5001023,,,118,14,0
5001023,,,360,15,0
5001023,,,361,16,0
5001023,,,362,17,0
5001023,,,1159,18,0
5001023,,,52,19,0
5001023,,,53,20,0
5001023,,,55,21,0
5001023,,,56,22,0
5001023,,,1290,23,0
5001023,,,57,24,0
5001023,,,1216,25,0
5001023,10:10:00,10:10:00,1,26,1
5001025,10:00:00,10:00:00,1493,0,1
5001025,,,1349,1,0
5001025,,,1548,2,0
5001025,,,1491,3,0
5001025,,,1306,4,0
5001025,,,1592,5,0
5001025,,,34,6,0
5001025,,,35,7,0
5001025,,,36,8,0
5001025,,,37,9,0
5001025,,,38,10,0
5001025,,,39,11,0
5001025,,,40,12,0
5001025,,,1199,13,0
5001025,,,118,14,0
5001025,,,360,15,0
5001025,,,361,16,0
5001025,,,362,17,0
5001025,,,1159,18,0
5001025,,,52,19,0
5001025,,,53,20,0
5001025,,,55,21,0
5001025,,,56,22,0
5001025,,,1290,23,0
5001025,,,57,24,0
5001025,,,1216,25,0
5001025,10:27:00,10:27:00,1,26,1
5001027,10:17:00,10:17:00,1493,0,1
5001027,,,1349,1,0
5001027,,,1548,2,0
5001027,,,1491,3,0
5001027,,,1306,4,0
5001027,,,1592,5,0
5001027,,,34,6,0
5001027,,,35,7,0
5001027,,,36,8,0
5001027,,,37,9,0
5001027,,,38,10,0
5001027,,,39,11,0
5001027,,,40,12,0
5001027,,,1199,13,0
5001027,,,118,14,0
5001027,,,360,15,0
5001027,,,361,16,0
5001027,,,362,17,0
5001027,,,1159,18,0
5001027,,,52,19,0
5001027,,,53,20,0
5001027,,,55,21,0
5001027,,,56,22,0
5001027,,,1290,23,0
5001027,,,57,24,0
5001027,,,1216,25,0
5001027,10:44:00,10:44:00,1,26,1
5001029,10:34:00,10:34:00,1493,0,1
5001029,,,1349,1,0
5001029,,,1548,2,0
5001029,,,1491,3,0
5001029,,,1306,4,0
5001029,,,1592,5,0
5001029,,,34,6,0
5001029,,,35,7,0
5001029,,,36,8,0
5001029,,,37,9,0
5001029,,,38,10,0
5001029,,,39,11,0
5001029,,,40,12,0
5001029,,,1199,13,0
5001029,,,118,14,0
5001029,,,360,15,0
5001029,,,361,16,0
5001029,,,362,17,0
5001029,,,1159,18,0
5001029,,,52,19,0
5001029,,,53,20,0
5001029,,,55,21,0
5001029,,,56,22,0
5001029,,,1290,23,0
5001029,,,57,24,0
5001029,,,1216,25,0
5001029,11:01:00,11:01:00,1,26,1
5001031,10:51:00,10:51:00,1493,0,1
5001031,,,1349,1,0
5001031,,,1548,2,0
5001031,,,1491,3,0
5001031,,,1306,4,0
5001031,,,1592,5,0
5001031,,,34,6,0
5001031,,,35,7,0
5001031,,,36,8,0
5001031,,,37,9,0
5001031,,,38,10,0
5001031,,,39,11,0
5001031,,,40,12,0
5001031,,,1199,13,0
5001031,,,118,14,0
5001031,,,360,15,0
5001031,,,361,16,0
5001031,,,362,17,0
5001031,,,1159,18,0
5001031,,,52,19,0
5001031,,,53,20,0
5001031,,,55,21,0
5001031,,,56,22,0
5001031,,,1290,23,0
5001031,,,57,24,0
5001031,,,1216,25,0
5001031,11:18:00,11:18:00,1,26,1
5001033,11:08:00,11:08:00,1493,0,1
5001033,,,1349,1,0
5001033,,,1548,2,0
5001033,,,1491,3,0
5001033,,,1306,4,0
5001033,,,1592,5,0
5001033,,,34,6,0
5001033,,,35,7,0
5001033,,,36,8,0
5001033,,,37,9,0
5001033,,,38,10,0
5001033,,,39,11,0
5001033,,,40,12,0
5001033,,,1199,13,0
5001033,,,118,14,0
5001033,,,360,15,0
5001033,,,361,16,0
5001033,,,362,17,0
5001033,,,1159,18,0
5001033,,,52,19,0
5001033,,,53,20,0
5001033,,,55,21,0
5001033,,,56,22,0
5001033,,,1290,23,0
5001033,,,57,24,0
5001033,,,1216,25,0
5001033,11:35:00,11:35:00,1,26,1
5001035,11:25:00,11:25:00,1493,0,1
5001035,,,1349,1,0
5001035,,,1548,2,0
5001035,,,1491,3,0
5001035,,,1306,4,0
5001035,,,1592,5,0
5001035,,,34,6,0
5001035,,,35,7,0
5001035,,,36,8,0
5001035,,,37,9,0
5001035,,,38,10,0
5001035,,,39,11,0
5001035,,,40,12,0
5001035,,,1199,13,0
5001035,,,118,14,0
5001035,,,360,15,0
5001035,,,361,16,0
5001035,,,362,17,0
5001035,,,1159,18,0
5001035,,,52,19,0
5001035,,,53,20,0
5001035,,,55,21,0
5001035,,,56,22,0
5001035,,,1290,23,0
5001035,,,57,24,0
5001035,,,1216,25,0
5001035,11:52:00,11:52:00,1,26,1
5001037,11:42:00,11:42:00,1493,0,1
5001037,,,1349,1,0
5001037,,,1548,2,0
5001037,,,1491,3,0
5001037,,,1306,4,0
5001037,,,1592,5,0
5001037,,,34,6,0
5001037,,,35,7,0
5001037,,,36,8,0
5001037,,,37,9,0
5001037,,,38,10,0
5001037,,,39,11,0
5001037,,,40,12,0
5001037,,,1199,13,0
5001037,,,118,14,0
5001037,,,360,15,0
5001037,,,361,16,0
5001037,,,362,17,0
5001037,,,1159,18,0
5001037,,,52,19,0
5001037,,,53,20,0
5001037,,,55,21,0
5001037,,,56,22,0
5001037,,,1290,23,0
5001037,,,57,24,0
5001037,,,1216,25,0
5001037,12:09:00,12:09:00,1,26,1
5001039,11:59:00,11:59:00,1493,0,1
5001039,,,1349,1,0
5001039,,,1548,2,0
5001039,,,1491,3,0
5001039,,,1306,4,0
5001039,,,1592,5,0
5001039,,,34,6,0
5001039,,,35,7,0
5001039,,,36,8,0
5001039,,,37,9,0
5001039,,,38,10,0
5001039,,,39,11,0
5001039,,,40,12,0
5001039,,,1199,13,0
5001039,,,118,14,0
5001039,,,360,15,0
5001039,,,361,16,0
5001039,,,362,17,0
5001039,,,1159,18,0
5001039,,,52,19,0
5001039,,,53,20,0
5001039,,,55,21,0
5001039,,,56,22,0
5001039,,,1290,23,0
5001039,,,57,24,0
5001039,,,1216,25,0
5001039,12:26:00,12:26:00,1,26,1
5001041,12:20:00,12:20:00,1493,0,1
5001041,,,1349,1,0
5001041,,,1548,2,0
5001041,,,1491,3,0
5001041,,,1306,4,0
5001041,,,1592,5,0
5001041,,,34,6,0
5001041,,,35,7,0
5001041,,,36,8,0
5001041,,,37,9,0
5001041,,,38,10,0
5001041,,,39,11,0
5001041,,,40,12,0
5001041,,,1199,13,0
