"stop_name","stop_desc"
"Spyglass Apartments","Northbound SW 62nd BLVD @ Nearside SW 4th PL"
"Palm Garden of Gainesville","Northbound SW 62nd BLVD @ Nearside SW 4th PL"
"Hampton Oaks Apartments","Northbound SW 62nd BLVD @ Nearside NW 1st PL"
"Terwilliger Elementary School","Northbound NW 62nd ST @ Nearside NW 4th PL"
"Cabana Beach Apartments","Westbound SW 52nd BLVD @ Nearside SW 20th AVE"
"Cabana Beach","Northbound SW 52nd BLVD @ Farside SW 20th AVE"
"Marchwood Townhomes","Southbound SW 43rd ST @ Farside SW 20th LN"
"Eastbound SW 24th Avenue @ SW 43rd Street","Southbound SW 43rd St @ Nearside SW 24th AVE"
"The Ridge @ SW 38th TER northbound","Northbound SW 38th TER @ Farside SW 24th AVE"
"SW 38th Terr nearside SW 20th Ave","Northbound SW 38th Terrace @ SW 20th Avenue"
"Kensington Apartments Eastside","Southbound SW 38th TER @ Farside SW 20th AVE"
"The Ridge @ SW 38th TER southbound","Southbound SW 38th TER @ Nearside SW 24th AVE"
"Hailey Gardens","Northbound SW 43rd ST @ Nearside SW 22nd LN"
"Forest Park","Northbound SW 43rd ST @ Nearside SW 21st PL"
"Cabana Beach Apartments","Eastbound SW 52 BLVD @ Nearside SW 20th AVE"
"North Florida Regional Medical Center","Westbound Newberry RD @ Nearside NW 66th ST"
"SUBWAY@ Newberry RD","Westbound Newberry RD @ Nearside Oaks Mall"
"West Newberry Rd Nearside NW 69th Ter","Westbound Newberry RD @ Nearside NW 69th TER"
"Newberry Rd @ NW 75th","Westbound Newberry RD @ Nearside Tower RD"
"Krystal @ Newberry Road","Westbound Newberry RD @ Farside NW 76th ST"
"Westbound Newberry Road @ Fort Clarke Boulevard","Westbound Newberry RD @ Nearside Fort Clarke BLVD"
"Paddock Club Apartments","Northbound Fort Clarke BLVD @ Farside NW 8th AVE"
"Legacy @ Fort Clarke Apartments","Northbound Fort Clarke BLVD @ Farside NW 15th PL"
"Northbound Fort Clarke Boulevard @ Eagle Point","Northbound Fort Clarke BLVD @ Nearside NW 17th PL"
"Hidden Oak Elementary School","Northbound Fort Clarke BLVD @ Farside NW 89th DR"
"Ft Clarke Middle School","Northbound Fort Clarke BLVD @ Nearside NW 23rd AVE"
"Ft Clarke Middle School","Southbound Fort Clarke BLVD @ Farside NW 23rd AVE"
"Hidden Oak Elementary School","Southbound Fort Clarke BLVD @ Nearside NW 23rd AVE"
"Southbound Fort Clarke Boulevard @ Eagle Point","Southbound Fort Clarke BLVD @ Nearside NW 17th PL"
"Legacy @ Fort Clarke Apartments","Southbound Fort Clarke BLVD @ Nearside NW 15th PL"
"Paddock Club Apartments","Southbound Fort Clarke BLVD @ Nearside NW 8th AVE"
"Eastbound Newberry Road @ Fort Clarke Boulevard","Eastbound Newberry RD @ Farside Fort Clarke BLVD"
"Pepboys Auto @ Newberry RD","Eastbound Newberry RD @ Nearside NW 76th BLVD"
"Kangaroo Express @ Newberry/Tower Road","Eastbound Newberry RD @ Nearside NW 75th ST"
"Oaks Square Complex","Eastbound Newberry RD @ Farside NW 69th TER"
"Oaks Mall","Eastbound Newberry RD @ Nearside Oaks Mall"
"GRU Administration Building","Eastbound SE 4th AVE @ Farside SE 4th ST"
"Eastbound SE 4th Avenue @ SE 8th Street","Eastbound SE 4th AVE @ Nearside SE 8th ST"
"Triangle Club","Eastbound SE 4th AVE @ Nearside 11th ST"
"Northbound SE 11th Street @ SE 2nd Avenue","Northbound SE 11th ST @ Nearside SE 2nd AVE"
"Walgreens @ NE 3rd Avenue","Northbound Waldo RD @ Nearside NE 3rd AVE"
"UF Health Family Medicine Eastside Northbound","Northbound Waldo RD @ Farside NE 5th AVE"
"Episcopal Children's Services Northbound","Northbound Waldo RD @ Nearside NE 8th AVE"
"Northbound NE 9th Street @ NE 10th Place","Northbound NE 9th ST @ Nearside NE 10th PL"
"Northbound NE 9th Street @ NE 14th Avenue","Northbound NE 9th ST @ Farside NE 14th AVE"
"Tacachale Center","Northbound Waldo RD @ Farside NE 16th AVE"
"Family Worship Center","Northbound Waldo RD @ Farside NE 21st PL"
"University of Florida Eastside Campus @ Waldo Road","Northbound Waldo RD @ Nearside NE 23rd AVE"
"BP Gas Station @ NE 23rd Avenue","Westbound NE 23rd AVE @ Farside Waldo RD"
"Bertie Heating & Air","Westbound NE 23rd AVE @ Nearside NE 17th TER"
"Quick Mart @ NE 15th Street","Northbound NE 15th ST @ Nearside NE 39th AVE"
"Lewis Place @ Ironwood Apartments","Northbound NE 15th ST @ Farside NE 13th AVE"
"North Point @ Ironwood","Northbound NE 15th ST @ Nearside NE 47th PL"
"BP Gas Station @ Waldo Road","Southbound Waldo RD @ Nearside NE 53rd AVE"
"NE 49th AVE - Brittany Estates Neighborhood","Eastbound NE 49th AVE @ Farside Waldo RD"
"NE49th AVE - PFG Foods","Eastbound NE 49th AVE @ Nearside NE 40th TER"
"Nordstrom Distribution Center","Northbound NE 49th TER @ Nearside NE 54th PL"
"Job Corps","Westbound NE 54th PL @ Nearside NE 54th AVE"
"NE 49th AVE","Westbound NE 49th AVE @ Farside Waldo RD"
"Invivo Imaging","Westbound NE 53rd AVE @ Farside Waldo RD"
"North Point @ Ironwood","Southbound NE 15th ST @ Nearside NE 47th PL"
"Lewis Place @ Ironwood Apartments","Southbound NE 15th Street @ Nearside NE 39th AVE"
"One Room School","Southbound NE 15th ST @ Nearside NE 39th AVE"
"Bertie Heating & Air","Eastbound NE 23rd AVE @ Nearside NE 17th TER"
"BP Gas Station @ NE 23rd Avenue","Eastbound NE 23rd AVE @ Nearside Waldo RD"
"University of Florida Eastside Campus @ Waldo Road","Southbound Waldo RD @ Farside NE 21st PL"
"Crab House","Southbound Waldo RD @ Farside Ne 18th PL"
"Southbound NE 9th Street @ NE 14th Avenue","Southbound NE 9th ST @ Nearside NE 14th AVE"
"Southbound NE 9th Street @ Ne 10th Place","Southbound NE 9th ST @ Nearside NE 10th PL"
"Episcopal Children's Services","Southbound Waldo RD @ Farside NE 8th AVE"
"UF Health Family Medicine Eastside","Southbound Waldo RD @ Farside NE 5th AVE"
"Kangaroo @ Waldo Road","Southbound Waldo RD @ Nearside E University AVE"
"Southbound SE 11th Street @ SE 2nd Avenue","Southbound SE 11th ST @ Nearside SE 2nd AVE"
"Triangle Club","Westbound SE 4th AVE @ Farside SE 11th ST"
"Westbound SE 4th Avenue @ SE 8th Street","Westbound SE 4th AVE @ Nearside SE 8th ST"
"GRU Administration Building","Westbound SE 4th AVE @ Nearside SE 4th ST"
"Bed and Breakfast District","Eastbound SE 2nd AVE @ Nearside SE 7th ST"
"Eastbound SE 2nd AVE @ SE 10th ST","Eastbound SE 2nd AVE @ Farside SE 10th ST"
"Super Wal-Mart @ Waldo Road","Northbound Waldo RD @ Farside NE 12th AVE"
"Sonny's Barbecue @ Waldo Road","Northbound Waldo RD @ Nearside NE 27th AVE"
"Merita Bread Box","Northbound Waldo RD @ Farside NE 31st AVE"
"GRACE Marketplace","Eastbound NE 39th AVE @ Farside Waldo RD"
"Alachua County Juvenile Detention","Eastbound NE 39th AVE @ Farside Waldo RD"
"Airport","Westbound Airport Access RD @ Farside NE 39th AVE"
"Gainesville Regional Airport Outbound","Westbound Airport Access RD @ Nearside NE 39th AVE"
"Alachua County Juvenile Detention","Westbound NE 39th AVE @ Farside Waldo RD"
"GRACE Marketplace","Westbound NE 39th AVE @ Nearside Waldo RD"
"Merita Bread Box","Southbound Waldo RD @ Nearside NE 31st AVE"
"Sonny's Barbecue @ Waldo Road","Southbound Waldo RD @ Farside NE 27th AVE"
"Super Wal-Mart @ Waldo Road","Southbound Waldo RD @ Nearside NE 12th AVE"
"Westbound SE 2nd AVE @ SE 10th ST","Westbound SE 2nd AVE @ Nearside SE 10th Street"
"Bed and Breakfast District","Westbound SE 2nd AVE @ Farside SE 7th ST"
"Ben Hill Griffin Stadium North End Zone","Southbound Gale Lemerand DR @ Farside W Universit*"
"Hills Mini Storage","Westbound NE 39th Ave @ Farside Waldo Rd"
"Ironwood Golf Course","Westbound NE 39th AVE @ Nearside Waldo RD"
"Passage Family Church","Southbound NE 15th St @ Nearside NE 20th Pl"
"Southbound Metcalfe Elementary School","Southbound NE 15th ST @ Nearside NE 18th AVE"
"Gardenia Gardens","Eastbound NE 8th AVE @ Farside NE 17th ST"
"Northbound Metcalfe Elementary School","Northbound NE 15th ST @ Nearside NE 18th AVE"
"NE 15th St @ NE 20th Pl","Northbound NE 15th St @ Farside NE 20th Pl"
"Ironwood Golf Course","Eastbound NE 39th AVE @ Farside Waldo RD"
"NE 39th Ave @ Waldo Rd","Eastbound NW 39th AVE @ Nearside Waldo RD"
"FDOT Operations Center","Eastbound NW 39th AVE @ Nearside NE 52 ST"
"Santa Fe College Charles L. Blount Center","Northbound NW 6th ST @ Nearside NW 4th AVE"
"Northwest 8 Avenue @ farside NW 4th St","Northwest 8 Avenue @ farside NW 4th St Eastbound"
"UF & Shands Family Medicine Main Street","Northbound N Main ST @ Farside NW 16th AVE"
"Fresenius Medical Care","Northbound N Main ST @ Nearside NE 1st Blvd"
"Greyhound Station","Westbound NW 23rd AVE @ Nearside N Main ST"
"Northside Shopping Center West","Northbound NE 1 BLVD @ Farside NW 23 AVE"
"Northside Shopping Center East","Southbound Main ST @ Nearside NW 23rd AVE"
"Family Dollar @ NE 23rd AVE","Westbound NE 23rd AVE @  N Main ST"
"The Clock Restaurant","Southbound N Main ST @ Nearside NE 1st Blvd"
"Gator City Motors SB N Main St","Southbound Main ST @ Nearside NW 16th AVE"
"Westbound NW 8th AVE @ NW 4th ST","Westbound NW 8th AVE @ Nearside NW 4th ST"
"Santa Fe College Charles L. Blount Center","Eastbound NW 6th ST @ Nearside NW 3rd AVE"
"Family Housing @ SW 34th Street","Northbound SW 34th ST @ Nearside Radio RD"
"Northside Family Housing","Eastbound Radio RD @ Nearside SW 34 ST"
"Corry Village","Northbound Village DR @ Nearside W Fraternity Row"
"Fraternity Row II across Springs","Eastbound Fraternity Row @ Farside W Fraternity R*"
"Beta Theta Pi across Springs","Eastbound Fraternity Row @ Nearside Woodlawn DR"
"Leigh Hall","Northbound Buckman DR @ Nearside W University AVE"
"Springs Residence Building","Westbound Fraternity Row @ Farside Woodlawn DR"
"Fraternity Row at West Fraternity Drive","Westbound Fraternity Row @ Nearside W Fraternity *"
"Corry Village","Westbound West Fraternity DR @ Nearside Village DR"
"Physical Plant Radio Road","Westbound Radio RD @ Nearside SW 34 ST"
"Orthopaedics and Sports Medicine Institute","Southbound SW 34th ST @ Nearside Hull RD"
"Clark Butler BLVD @ Plaza southbound","Southbound Clark Butler BLVD @ Nearside Plaza BLVD"
"Celebration Pointe At Regal Cinema 10","SW 45th Street Farside SW 32nd Road"
"Celebration Pointe PNR","SW 32nd Rd And SW 50th Terrace Parking Lot"
"Outside of Butler Plaza TS","SW 35th Blvd And SW 42nd Street"
"Pod @ Plaza Blvd Eastbound","Eastbound Plaza Blvd @ Farside SW 62nd Blvd"
"Varsity House Apartments @ SW 38th Ter","Northbound SW 38th TER @ Nearside Hull RD"
"aloft Hotel @ Hull Rd Eastbound","Eastbound Hull Rd Farside SW 37th St"
"Museum Walk Apartments","Eastbound Hull RD @ Nearside SW 34th ST"
"Cultural Plaza","Eastbound Hull RD @ Farside Bledsoe DR"
"Lacrosse Field","Eastbound Hull RD @ Nearside Natural Area DR"
"Fifield Hall","Eastbound Hull RD @ Nearside Mowry RD"
"Southbound SW 26th Drive @ SW 40th Place","Southbound SW 26th DR @ Nearside SW 40th PL"
"Gainesville Place Apartments @ SW 35th Place","Westbound SW 35th PL @ Nearside SW 28th TER"
"Gainesville Place Apartments","Northbound Gainesville Place Apartments @ Farside*"
"Gainesville Place Apartments","Northbound Gainesville Place Apartments @ Farside*"
"Enclave Apartments","Westbound SW 28th PL @ Farside SW 28th PL"
"Gainesville Place Apartments","Northbound Old Archer RD @ Nearside SW 31st TER"
"Old Archer Road @ SW 34th Street","Westbound Old Archer RD @ Nearside SW 34th ST"
"Regency Oaks Apartments","Northbound SW 34th ST @ Farside Windmeadows BLVD"
"34th Street Plaza","Northbound SW 34th ST @ Nearside SW 20th AVE"
"34th Street Wall","Northbound SW 34th ST @ Nearside SW 2nd Ave"
"Point West Apartments","Southbound SW 34th ST @ Farside SW 2nd Ave"
"Maguire Village @ SW 34th Street","Southbound SW 34th ST @ Nearside Radio RD"
"34th Street Plaza","Southbound SW 34th ST @ Farside SW 20th AVE"
"Kelly's Kwik Stop","Southbound SW 34th ST @ Farside SW 24th AVE"
"Ridgemar Commons","Eastbound SW 35th PL @ Farside SW 32nd TER"
"Victoria Station Apartments","Eastbound SW 35th PL @ Farside SW 32nd TER"
"Gainesville Place Apartments @ SW 35th Place","Eastbound SW 35th PL @ Farside SW 28th TER"
"Southbound SW 27th Street @ SW 35th Place","Southbound SW 27th ST @ Farside SW 35th PL"
"Lexington Crossing Apartments","Southbound SW 27th ST @ Farside SW 35th PL"
"Lexington Crossing Apartments","Southbound SW 27 PL @ Nearside SW 38th PL"
"Savannah Place Apartments","Westbound SW 35th PL @ Farside SW 23rd TER"
"Arbor Apartments","Westbound SW 35th PL @ Farside SW 23rd TER"
"Casablanca Apartments","Westbound SW 35th PL @ Nearside SW 27th ST"
"Lexington Crossing Apartments","Southbound SW 27th ST @ Nearside SW 40th PL"
"The Polos Southwest Entrance","Eastbound SW 40th Pl. @ Nearside SW 25th Ter"
"Hunters Run Apartments","Westbound Williston RD @ Farside SW 25th TER"
"Campus Lodge Apartments","Westbound Williston RD @ Nearside SW 29Th Dr"
"Nationwide Insurance @ Williston Road","Westbound Williston RD @ Farside SW 29Th Dr"
"Williston Plaza","Northbound SW 34th ST @ Farside Williston RD"
"US Post Office @ SW 34th Street","Northbound SW 34th ST @ Nearside SW 47th AVE"
"Laurels Apartments","Northbound SW 34th ST @ Farside SW 47th AVE"
"Dollar General","Northbound SW 34th ST @ Farside SW 42 PL"
"University Terrace Condominiums","Northbound SW 34th ST @ Nearside SW 39th BLVD"
"Williston Plaza","Northbound SW 47th AVE @ Nearside SW 34th ST"
"Regal  Cinema 14 @ Butler Plaza","Northbound Windmeadows BLVD @ Farside SW 35th BLVD"
"Spanish Trace Apartments","Eastbound Windmeadows BLVD @ Nearside SW 34th ST"
"Fifield Hall","Westbound Hull RD @ Farside Mowry RD"
"Pressly Softball Stadium","Westbound Hull RD @ Farside Natural Area DR"
"Southwest Recreation Center","Westbound Hull RD @ Nearside Bledsoe DR"
"Spanish Trace Apartments","Westbound Windmeadows BLVD @ Farside SW 34th ST"
"Windmeadows Apartments","Westbound Windmeadows BLVD @ Nearside SW 35th ST"
"Alarion Bank @ 34th ST","Southbound SW 34th ST @ Farside SW 42nd PL"
"US Post Office @ SW 34th Street","Southbound SW 34th ST @ Nearside SW 47th AVE"
"Williston Plaza","Westbound SW 48th LN @ Nearside SW 34th ST"
"The Enclave Apartments","Westbound SW 35th PL @ Nearside SW 34th ST"
"Rocky Point Apartments","Westbound SW 35th PL @ Nearside SW 34th ST"
"Gainesville Place","Southbound Gainesville Place Apartments @ Nearsid*"
"University Commons Apartments","Westbound Old Archer RD @ Farside SW 23rd TER"
"Brandywine Apartments","Westbound Old Archer RD @ Farside SW 28th PL"
"Archer Court Apartments","Westbound Old Archer RD @ Nearside SW 28th Pl"
"Gainesville Place Apartments","Southbound Gainesville Place Ent @ Old Archer RD"
"Enclave 1","Eastbound SW 32nd Terrace @ E of Main Bldg"
"Enclave 3","Eastbound SW 32nd Terrace @ Traffic Circle"
"Enclave 4","Eastbound Enclave Apartments @ Nearside Enclave A*"
"Possum Creek Park","Northbound NW 41st Ter @ Nearside NW 53rd Ave"
"Hunter's Crossing","Southbound NW 43rd St. @ Farside NW 52nd Pl"
"Southbound NW 43rd St. @ NW 48th Pl","Southbound NW 43rd St. @ Nearside NW 48th Pl"
"Southbound NW 43rd St. @ NW 46th Ave","Southbound NW 43rd St. @ Nearside NW 46th Ave"
"Southbound NW 43rd St. @ NW 44th Ave","Southbound NW 43rd St. @ Farside NW 44th Ave"
"Southbound NW 43rd St. @ NW 41st Pl","Southbound NW 43rd St. @ Farside NW 41st Pl"
"Metrocorp Center","Eastbound NW 39th AVE @ Nearside NW 40th TER"
"Eastbound NW 39th AVE @ NW 37th ST","Eastbound NW 39th AVE @ Farside NW 37th ST"
"Sable Chase Neighborhood","Eastbound NW 39th AVE @ Farside NW 35th ST"
"Southbound NW 34th St. @ NW 37th Ave","Northbound NW 34th St. @ Nearside NW 37th Ave"
"Southbound NW 34th St. @ NW 33rd Ln","Southbound NW 34th St. @ Nearside NW 33rd Ln"
"Southbound NW 34th St @ NW 30th Pl","Southbound NW 34th St. @ Farside NW 30th Blvd"
"Southbound NW 34th St @ NW 26th Pl","Southbound NW 34th St. @ Nearside NW 34th Ter"
"Southbound NW 34th St. @ NW 21st Pl","Southbound NW 34th St. @ Nearside NW 21st Pl"
"Greenbriar Terrace Community","Southbound NW 34th St. @ Farside NW 19th Pl"
"Southbound Westwood Middle School","Southbound NW 34th St. @ Farside NW 15th Pl"
"Littlewood Elementary School","Southbound NW 34th St. @ Nearside NW 8th Ave"
"Southbound NW 34th St. @ NW 7th Ave","Southbound NW 34th St. @ Nearside NW 7th Ave"
"Southbound Loblolly Woods South Entrance","Southbound NW 34th St @ Nearside NW 5th Ave"
"Northbound Loblolly Woods South Entrance","Northbound NW 34th Street @ Nearside NW 5th Ave"
"Northbound NW 34th St. @ NW 8th Ave","Northbound NW 34th St. @ Nearside NW 8th Ave"
"Westside Recreation Center","Northbound NW 34th St. @ Farside NW 8th Ave"
"Northbound Westwood Middle School","Northbound NW 34th St. @ Nearside NW 15th Ave"
"Northbound NW 34th St @ NW 16th Ave","Northbound NW 34th St @ Farside NW 16th Ave"
"Northbound NW 34th St @ NW 21st Pl","Northbound NW 34th St. @ Nearside NW 24th Ave"
"Northbound NW 34th St. @ NW 26th Ave","Northbound NW 34th St. @ Nearside NW 26th Ave"
"Northbound NW 34th St. @ NW 31st Ave","Northbound NW 34th St. @ Nearside NW 31st Ave"
"Northbound NW 34th St @ NW 33rd Ln","Northbound NW 34th St. @ Nearside NW 31st Blvd"
"Northbound NW 34th St. @ NW 31st Blvd","Northbound NW 34th St. @ Nearside NW 31st Blvd"
"Sable Chase Neighborhood","Westbound NW 39th AVE @ Nearside NW 35th ST"
"Breckenridge Neighborhood","Westbound NW 39th AVE @ Farside NW 37th TER"
"Metrocorp Center","Westbound NW 39th AVE @ Nearside NW 43rd ST"
"Northbound NW 43rd St. @ NW 39th Ave","Northbound NW 34th St. @ Farside NW 39th Ave"
"Pinewood Terrace Community","Northbound NW 43rd St. @ Nearside NW 44th Ave"
"Northbound NW 43rd St. @ NW 46th Ave","Northbound NW 43rd St. @ Nearside NW 46th Ave"
"Northbound NW 43rd St. @ NW 48th Pl","Northbound NW 43rd St. @ Nearside NW 48th Pl"
"Walgreens on NW 43rd Street","Northbound NW 43rd St. @ Nearside NW 52nd Pl"
"Santa Fe College @ NW 83rd Street","Northbound NW 83rd ST @ Nearside NW 31st AVE"
"The Arc","Northbound NW 83rd ST @ Farside North RD"
"Windsor Assisted Living","Northbound NW 83rd ST @ Farside NW 36th AVE"
"Springhill Professional Center","Northbound NW 83rd ST @ Nearside NW 39th AVE"
"Robin Lane Neighborhood","Eastbound NW 39th AVE @ Farside NW 75th ST"
"Unicorn Hill Farm","Eastbound NW 39th AVE @ Nearside NW 69th ST"
"Greystone Community","Eastbound NW 39th AVE @ Nearside NW 63rd ST"
"Faith Presbyterian Church","Eastbound NW 39th AVE @ Farside NW 63rd ST"
"Huntington Lakes Apartments","Eastbound NW 39th AVE @ Nearside NW 53rd ST"
"NW Grille Seafood","Eastbound NW 39th AVE @ Nearside NW 51st ST"
"Autumn Woods Neighborhood","Eastbound NW 39th AVE @ Nearside NW 48th TER"
"Pine Woods Apartments","Eastbound NW 39th AVE @ Nearside NW 45th ST"
"Allstate Insurance","Southbound NW 43rd ST @ Nearside NW 37th PL"
"Division of Blind Services","Southbound NW 43rd ST @ Nearside NW 36th AVE"
"Southbound NW 43rd Street @ NW 33rd Court","Southbound NW 43rd ST @ Nearside NW 33rd CT"
"Millhopper Branch Library","Southbound NW 43rd ST @ Nearside NW 31st AVE"
"Sunstate Insurance","Southbound NW 43rd ST @ Nearside NW 27th AVE"
"CVS @ Millhopper","Southbound NW 43rd ST @ Nearside NW 23rd AVE"
"Millhopper Plaza","Southbound NW 43rd ST @ Farside NW 23rd AVE"
"Southbound NW 43rd Street @ NW 19th Avenue","Southbound NW 43rd ST @ Nearside NW 19th AVE"
"Southbound NW 43rd Street @ NW 15th Place","Southbound NW 43rd ST @ Nearside NW 15th PL"
"Suburban Heights Neighborhood","Southbound NW 43rd ST @ Nearside NW 13th AVE"
"Landmark Woods Neighborhood","Southbound NW 43rd ST @ Farside NW 12th AVE"
"Landmark Woods Neighborhood","Southbound NW 43rd ST @ Nearside NW 9th PL"
"Holy Faith Catholic Church","Southbound NW 43rd ST @ Farside NW 8th AVE"
"Kauffman Tires","Eastbound W University Ave @ Farside SW 36th St"
"Westgate Plaza","Eastbound University Ave @ Nearside Nw 33rd Ct"
"Women's Club","Eastbound University Ave @ Farside NW 28th St"
"Eastbound University Avenue @ SW 23rd DR","Eastbound W University AVE @ Nearside SW 23rd Dr"
"Hillel at the University of Florida","Westbound W University AVE @ Farside NW 20th DR"
"Westbound University Avenue @ NW 22nd Street","Westbound W University AVE @ Nearside NW 22nd ST"
"Westbound University Avenue @ NW 23rd Drive","Westbound W University AVE @ Nearside NW 23rd DR"
"Women Center","Westbound W University AVE @ Nearside NW 28th ST"
"West Gate Shopping Center","Westbound W University AVE @ Nearside NW 32nd ST"
"Westgate Plaza","Westbound W University AVE @ Farside SW 34th ST"
"Fire Station @ W University Ave","Westbound W University AVE @ Nearside NW 36th ST"
"Millennium Center","Northbound NW 43rd ST @ Farside Newberry RD"
"Holy Faith Catholic Church","Northbound NW 43rd ST @ Nearside NW 8th AVE"
"Lenox Place Apartments","Northbound NW 43rd ST @ Nearside NW 9th Pl"
"Landmark Woods Neighborhood","Northbound NW 43rd ST @ Nearside NW 12th AVE"
"NW 14th Place @ NW 43rd Street","Northbound NW 43rd ST @ Nearside NW 14th PL"
"Northbound NW 43rd Street @ NW 16th Place","Northbound NW 43rd ST @ Nearside NW 16th PL"
"Millhopper Pines Apartments","Northbound NW 43rd ST @ Farside NW 18th PL"
"Millhopper Plaza","Northbound NW 43rd ST @ Nearside NW 16th BLVD"
"Thorn Brook Shops","Northbound NW 43rd ST @ Farside NW 16th BLVD"
"Bank of America @ NW 43rd Street","Northbound NW 43rd ST @ Nearside NW 27th LN"
"Millhopper Branch Library","Northbound NW 43rd ST @ Farside NW 31st AVE"
"Monterey Apartments","Northbound NW 43rd ST @ Farside NW 34th AVE"
"Pinewood Apartments","Westbound NW 39th AVE @ Farside NW 43rd ST"
"Magnolia Park Neighborhood","Westbound NW 39th AVE @ Nearside NW 46th TER"
"Tire Plus @ NW 39th Avenue","Westbound NW 39th AVE @ Nearside NW 51st ST"
"Huntington Lakes Apartments","Westbound NW 39th AVE @ Farside NW 53rd ST"
"Faith Presbyterian Church","Westbound NW 39th AVE @ Farside NW 53rd ST"
"Summer Creek Neighborhood","Westbound NW 39th AVE @ Nearside NW 64th ST"
"Emerald Woods Neighborhood","Westbound NW 39th AVE @ Nearside NW 59th ST"
"Robin Lane Neighborhood","Westbound NW 39th AVE @ Nearside NW 75th ST"
"Springhill Professional Center","Southbound NW 83rd ST @ Farside NW 39th AVE"
"Northridge Neighborhood","Southbound NW 83rd ST @ Nearside NW 36th AVE"
"The Arc","Southbound NW 83rd ST @ Farside North RD"
"Santa Fe College @ NW 83rd Street","Southbound NW 83rd ST @ Nearside Administration RD"
"Pollo Tropical @ Butler Plaza West","Westbound Archer RD @ Farside SW 37th BLVD"
"Gainesville Ale House","Westbound Archer RD @ Nearside SW 40th BLVD"
"Celebration Pointe at Archer Rd","Westbound Archer Rd Nearside SW 43rd St"
"Gainesville Council on Aging","Westbound Archer RD @ Farside SW 47th ST"
"Westbound Archer Road @ SW 50th Street","Westbound Archer RD @ Nearside SW 50th ST"
"Madison Cove Apartments","Westbound Archer RD @ Nearside SW 56th TER"
"Kanapaha Botanical Gardens","Westbound Archer RD @ Nearside SW 56th TER"
"Westgate Mobile Manor Park","Westbound Archer RD @ Farside SW 58th DR"
"A Child's Place","Westbound Archer RD @ Nearside SW 63rd BLVD"
"Kanapaha Station Plaza","Westbound Archer RD @ Nearside SW 66th ST"
"Town & Country Veterinarians","Westbound Archer RD @ Nearside SW 69th TER"
"Bank of America @ Tower Square on Archer Road","Westbound Archer RD @ Farside SW 75th ST"
"Publix @ Tower Square on SW 75th Street","Northbound SW 75th ST @ Farside Archer RD"
"Asbury Park Apartments","Northbound SW 75th ST @ Nearside SW 53rd PL"
"Kanapaha Middle School","Northbound SW 75th ST @ Farside SW 51st BLVD"
"Tower Village Apartments","Northbound SW 75th ST @ Nearside SW 45th PL"
"Vet Mem PK","Northbound SW 75th ST @ Nearside SW 42nd PL"
"Kanapaha Park","Northbound SW 75th ST @ Nearside SW 36th AVE"
"Tower Road Branch Library","Northbound SW 75th ST @ Farside SW 24th AVE"
"Bellamy Grand","Northbound SW 75th ST @ Nearside SW 24th AVE"
"Walgreens @ SW 24th Avenue","Eastbound SW 24th AVE @ Farside SW 75th ST"
"Infinite Energy","Eastbound SW 24th AVE @ Farside SW 70th TER"
"Tower Oaks Glenn Apartments","Eastbound SW 24th AVE @ Farside SW 19th CT"
"Split Rock Conservation Area","Eastbound SW 24th AVE @ Farside SW 61st ST"
"Linton Oaks Neighborhood","Northbound SW 61st ST @ Farside SW 20th AVE"
"Linton Oaks Neighborhood @ SW 61st Street","Northbound SW 61st ST @ Farside SW 10th PL"
"Linton Oaks","Northbound SW 61st ST @ Nearside SW 8th PL"
"Linton Oaks Neighborhood @ SW 64th Terrace","Southbound SW 64th TER @ Farside SW 8th AVE"
"Linton Oaks Neighborhood @ SW 63rd Terrace","Northbound SW 63rd TER @ Nearside SW 8th AVE"
"Linton Oaks Neighborhood @ SW 61st Street","Southbound SW 61st ST @ Nearside SW 10th PL"
"Linton Oaks Neighborhood","Southbound SW 61st ST @ Nearside SW 20th AVE"
"Treebecka Park Apts","Westbound SW 20th AVE @ Farside SW 61st ST"
"Tower Oaks Glenn Apartments","Westbound SW 24th AVE @ Farside SW 19th CT"
"KISS 105.3 FM Station","Westbound SW 24th AVE @ Farside SW 70th TER"
"Carriage House Lane","Westbound SW 24th AVE @ Nearside SW 73rd TER"
"CVS Pharmacy @ SW 75th Street","Northbound SW 75th ST @ Farside SW 24th AVE"
"Sunrise Apartments","Northbound SW 75th ST @ Farside SW 19th PL"
"Woodlands Neighborhood","Northbound SW 75th ST @ Nearside SW 10th PL"
"Sparrow Apartments","Eastbound SW 8th AVE @ Farside SW 75th ST"
"Holly Heights","Northbound SW 70th TER @ Nearside SW 6th PL"
"Eastbound SW 6th Place @ SW 67th Terrace","Eastbound SW 6th PL @ Nearside SW 67th TER"
"Gordon Manor Neighborhood","Eastbound SW 67th TER @ Nearside SW 8th AVE"
"Westbound SW 8th Avenue @ SW 70th Terrace","Westbound SW 8th AVE @ Farside SW 70th TER"
"Sparrow Apartments","Westbound SW 8th AVE @ Farside SW 75th ST"
"Sparrow Apartments","Northbound SW 75th ST @ Farside SW 8th AVE"
"Cricket Club Apartments","Northbound SW 75th ST @ Farside SW 8th AVE"
"Reflections Apartments","Northbound SW 75th ST @ Nearside SW 1st PL"
"The Gardens Apartments","Northbound SW 75th ST @ Nearside W University AVE"
"Pine Meadow Apartments","Eastbound W University AVE @ Farside SW 75th ST"
