"stop_name","stop_desc"
"Florida Citizens Bank","Eastbound Newberry RD @ Nearside NW 39th RD"
"Regal Royal Park Stadium 16","Eastbound Newberry RD @ Farside SW 38th ST"
"SW 2nd AVE and SW 36th TER - CIL","Eastbound SW 2nd AVE @ Nearside SW 36th ST"
"Hawaiian Village","Eastbound SW 2nd AVE @ Nearside SW 34th ST"
"Westgate Plaza","Eastbound SW 2nd AVE @ Farside SW 34th ST"
"UF Golf Course","Eastbound SW 2nd AVE @ Farside SW 30th ST"
"Eastbound SW 2nd Avenue @ SW 26th Street","Eastbound SW 2nd AVE @ Nearside SW 26th ST"
"University of Florida Law School","Eastbound SW 2nd AVE @ Farside SW 23rd ST"
"Pressly Stadium","Eastbound SW 2nd AVE @ Farside Woodlawn DR"
"Ben Hill Griffin Stadium","Eastbound W University AVE @ Farside Gale Lemeran*"
"St. Augustine Catholic Church","Eastbound W University AVE @ Nearside Fletcher DR"
"Keene Flint Hall","Eastbound W University AVE @ Farside Buckman DR"
"Anderson Hall","Eastbound W University AVE @ Nearside NW 15th ST"
"Leonardo's Pizza By The Slice","Eastbound W University AVE @ Farside SW 13th ST"
"University of Florida Human Resources","Eastbound W University AVE @ Nearside W 8th ST"
"Innovation Square North","Eastbound W University AVE @ Nearside SW 7th ST"
"The Continuum","Eastbound W University AVE @ Farside W 6th ST"
"AT&T Building","Eastbound W University AVE @ Nearside W 3rd ST"
"Alachua County Office of the State Attorney","Eastbound W University AVE @ Nearside SW 1st ST"
"Bo Diddley Community Plaza","Eastbound E University AVE @ Nearside E 3st ST"
"City Hall","Westbound E University AVE @ Nearside NE 1st ST"
"Alachua County Office of the State Attorney","Westbound W University AVE @ Nearside NW 2nd ST"
"Seagle Building","Westbound W University AVE @ Farside W 3rd ST"
"Santa Fe College Charles L. Blount Center","Westbound W University AVE @ Nearside NW 6th ST"
"Leonardo's 706","Westbound W University AVE @ Nearside NW 8th ST"
"Westbound W University Ave @ NW 10th St","Westbound W University AVE @ Nearside NW 10th ST"
"Holiday Inn @ W University Avenue","Westbound W University AVE @ Nearside SW 13th ST"
"Target Copy @ W University Avenue","Westbound W University AVE @ Nearside SW 14th ST"
"Smathers Library","Westbound W University AVE @ Nearside NW 16th ST"
"Swamp Restaurant","Westbound W University AVE @ Nearside NW 17th ST"
"University Lutheran Church","Westbound W University AVE @ Nearside NW 19th ST"
"President's Park","Westbound SW 2nd Ave @ Nearside SW 23rd St"
"UF Law School","Westbound SW 2nd AVE @ Nearside SW 26th ST"
"Campus Church of Christ","Westbound SW 2nd AVE @ Farside SW 26th ST"
"Westbound SW 2nd Avenue @ SW 30th Street","Westbound SW 2nd AVE @ Nearside SW 30th ST"
"Westgate Plaza","Westbound SW 2nd AVE @ Nearside SW 34th ST"
"Renaissance Jewelers","Westbound SW 2nd Ave @ Farrside SW 34th St"
"Fire Station","Westbound SW 2nd Ave @ Farside SW 36th St"
"Plaza Royale","Westbound Newberry RD @ Farside NW 36th DR"
"Tire Kingdom @ Newberry Road","Westbound Newberry RD @ Farside NW 39th RD"
"Allstate Insurance @ Newberry Road","Westbound Newberry RD @ Nearside NW 39th ST"
"Millennium Center","Westbound Newberry RD @ Nearside NW 43rd ST"
"Orthopedic Institute","Westbound Newberry RD @ Farside NW 43rd ST"
"Gainesville Health & Fitness","Westbound Newberry RD @ Nearside NW 48th BLVD"
"SunTrust Bank @ Newberry Road","Westbound Newberry RD @ Farside NW 51st ST"
"Capital City Bank @ Newberry Road","Westbound Newberry RD @ Nearside N 8th AVE"
"AT&T Store @ NW 4th Place","NW 4th Pl Nearside NW 62nd Street"
"Gainesville Rock Gym","Northbound S Main ST @ Farside SW Depot Ave"
"Alachua County Courthouse","Northbound S Main ST @ Nearside SW 2nd AVE"
"Planned Furnishings","Northbound SW 6th ST @ Nearside University Avenue"
"NW 6th St @ NW 3rd Ave","Northbound NW 6th St @ NW 3rd Ave"
"Santa Fe College Charles L. Blount Center","Northbound NW 6th ST @ Nearside NW 5th AVE"
"Williams Fellowship Hall","Northbound NW 6th ST @ Nearside NW 7th AVE"
"Gainesville Police Department","Northbound NW 6th ST @ Nearside NW 8th AVE"
"Big Ron's Yoga","Northbound NW 6th ST @ Nearside NW 10th AVE"
"Bailey Village Assisted Living","Northbound NW 6th ST @ Farside NW 13th ST"
"Medical Marihuana Treatment Center","Northbound NW 6th ST @ Nearside NW 16th AVE"
"Sixth Street Plaza","Northbound NW 6th ST @ Nearside NW 19th AVE"
"Hand & Hand Day Care","Northbound NW 6th ST @ Farside NW 19th LN"
"NW 6th St NW 23rd Ave","Northbound NW 6th ST @ Nearside NW 22nd AVE"
"Rena's Ballroom","Westbound NW 23rd AVE @ Farside NW 6th ST"
"Wesley United Methodist Church","Westbound NW 23rd AVE @ Nearside NW 10th ST"
"NW 23rd Avenue @ NW 12th St","Westbound NW 23rd AVE @ Farside NW 12th ST"
"Big Lot on NW 13th Street","Northbound NW 13th ST @ Farside NW 23rd AVE"
"NW 13th Street","Northbound NW 13th ST @ Farside NW 26th PL"
"Mount Pleasant Cemetary","Northbound NW 13th ST @ Farside NW 29th RD"
"Johnson & Fletcher Insurance","Northbound NW 13th ST @ Nearside NW 33rd AVE"
"ALDI Food Market","Northbound NW 13th ST @ Nearside NW 39th AVE"
"Auto Zone @ NW 13th Street","Northbound NW 13th ST @ Farside NW 39th AVE"
"Sunshine Inn","Northbound NW 13th ST @ Nearside NW 42nd AVE"
"Westgate Mobile Manor Park","Northbound NW 13th ST @ Nearside NW 45th AVE"
"Social Security NB NW 13th St","Northbound NW 13th St @ Farside 45th Ave"
"Great Lakes Carpet @ NW 53rd Avenue","Westbound NW 53rd AVE @ Nearside NW 19th ST"
"Sorrento New Home Community","Westbound NW 53rd AVE @ Nearside NW 55th AVE"
"Northwood Oaks Neighborhood","Northbound NW 34th ST @ Farside NW 54th AVE"
"Northwood Pines Neighborhood","Northbound NW 34th ST @ Nearside NW 25th TER"
"Pine Ridge Apartments","Northbound NW 34th ST @ Nearside NW 23rd TER"
"North Walmart Supercenter","Northbound NW 23rd ST @ Nearside NW 62nd AVE"
"ABC Liquor Store @ NW 34th Street","Southbound NW 34th ST @ Nearside NW 58th AVE"
"Kangaroo Gas @ NW 34th Street","Southbound NW 34th ST @ Nearside NW 23rd TER"
"Northwood Pines Neighborhood","Southbound NW 34th ST @ Nearside NW 23rd TER"
"Northwood Oaks Neighborhood","Southbound NW 34th ST @ Nearside NW 54th AVE"
"Eastbound NW 53rd Avenue @ NW 24th Boulevard","Eastbound NW 53rd AVE @ Farside NW 24th BLVD"
"Sorrento New Home Community","Eastbound NW 53rd AVE @ Farside NW 21st DR"
"The Home Depot @ NW 53rd Avenue","Eastbound NW 53rd AVE @ Nearside NW 13th ST"
"Social Security Administration","Southbound NW 13th ST @ Nearside NW 45th AVE"
"Early Learning Coalition","Southbound NW 13th ST @ Farside NW 44th AVE"
"Sandy's Boutique","Southbound NW 13th ST @ Farside NW 42nd AVE"
"CVS @ NW 13th Street","Southbound NW 13th ST @ Farside NW 41st AVE"
"Publix @ NW 39th Avenue","Southbound NW 13th ST @ Farside NW 39th AVE"
"Tires Plus @ NW 13th Street","Southbound NW 13th ST @ Nearside NW 33rd AVE"
"Grace Presbyterian Church","Southbound NW 13th ST @ Nearside NW 31st AVE"
"McDonald's @ NW 13th Street","Southbound NW 13th ST @ Nearside NW 29th AVE"
"Verizon Shop","Southbound NW 13th ST @ Nearside NW 26th PL"
"Eastbound NW 23rd Avenue @ NW 13th Street","Eastbound NW 23rd AVE @ Farside NW 13th ST"
