"Misty Oaks Apartments","Misty Oaks Apartments"
"Cobblestone Apartments","Cobblestone Apartments"
"Brookwood Terrace","Brookwood Terrace"
"Plaza Verde - NW 23rd Avenue","Plaza Verde - NW 23rd Avenue"
"Plaza Verde @ NW 13th St Southbound","Plaza Verde @ NW 13th St Southbound"
"Gainesville High School","Gainesville High School"
"Gainesville High School","Gainesville High School"
"Direct Auto Insurance","Direct Auto Insurance"
"State Farm Insurance @ NW 13th Street","State Farm Insurance @ NW 13th Street"
"Applebee's @ NW 13th Street","Applebee's @ NW 13th Street"
"All Star Automotive","All Star Automotive"
"The Gate Food Store @ NW 13th Street","The Gate Food Store @ NW 13th Street"
"NW 13th St @ Nearside NW 3rd Pl Southbound","NW 13th St @ Nearside NW 3rd Pl Southbound"
"The Standard","The Standard"
"Tigert Hall","Tigert Hall"
"Southbound SW 13th ST @ SW 13th AVE","Southbound SW 13th ST @ SW 13th AVE"
"Hotel Eleo @ SW 16th Ave Westbound","Hotel Eleo @ SW 16th Ave Westbound"
"Gainesville Healthcare Center","Gainesville Healthcare Center"
"Shands Hospital @ Parking Garage 9","Shands Hospital @ Parking Garage 9"
"Shands Hospital @ Helipad","Shands Hospital @ Helipad"
"Kangaroo @ SW 13th Street","Kangaroo @ SW 13th Street"
"McDonald's @ SW 13th Street","McDonald's @ SW 13th Street"
"Mother Earth Market","Mother Earth Market"
"University House Apartments","University House Apartments"
"Xerographic Copy Center","Xerographic Copy Center"
"LifeSouth Community Blood Center @ NW 13th Street","LifeSouth Community Blood Center @ NW 13th Street"
"CVS @ NW 13th Street","CVS @ NW 13th Street"
"Gainesville High School","Gainesville High School"
"Gainesville High School","Gainesville High School"
"Lux 13 Apartments","Lux 13 Apartments"
"Furniture Kingdom","Furniture Kingdom"
"UF Health Homecare","UF Health Homecare"
"Brook Wood Terrace Neighborhood","Brook Wood Terrace Neighborhood"
"Cobblestone Apartments","Cobblestone Apartments"
"Misty Oaks Apartments","Misty Oaks Apartments"
"Northbound NW 21st Avenue @ NW 33rd Avenue","Northbound NW 21st Avenue @ NW 33rd Avenue"
"Kiwanis Park","Kiwanis Park"
"Altrusa House of Gainesville","Altrusa House of Gainesville"
"Ridgeview Baptist Church","Ridgeview Baptist Church"
"Westbound NW 39th AVE @ NW 19th TER","Westbound NW 39th AVE @ NW 19th TER"
"Girls Place of Alachua County","Girls Place of Alachua County"
"Equilease Square","Equilease Square"
"Forest of the Unicorn Neighborhood","Forest of the Unicorn Neighborhood"
"Walnut Creek Neighborhood","Walnut Creek Neighborhood"
"Assembly of Gods Church","Assembly of Gods Church"
"Westbound NW 39th Avenue @ NW 31st Street","Westbound NW 39th Avenue @ NW 31st Street"
"NW 39th Avenue @ NW 34th Street","NW 39th Avenue @ NW 34th Street"
