stop_id,stop_name,stop_desc,route_id
935,Westbound SW 2nd Avenue @ SW 30th Street,Westbound SW 2nd AVE @ Nearside SW 30th ST,5
735,Rena's Ballroom,Westbound NW 23rd AVE @ Farside NW 6th ST,6
262,Westgate Mobile Manor Park,Northbound NW 13th ST @ Nearside NW 45th AVE,6
255,NW 13th Street,Northbound NW 13th ST @ Farside NW 26th PL,6
258,Johnson & Fletcher Insurance,Northbound NW 13th ST @ Nearside NW 33rd AVE,6
256,Mount Pleasant Cemetary,Northbound NW 13th ST @ Farside NW 29th RD,6
1478,Great Lakes Carpet @ NW 53rd Avenue,Westbound NW 53rd AVE @ Nearside NW 19th ST,6
222,Hand & Hand Day Care,Northbound NW 6th ST @ Farside NW 19th LN,6
1455,North Walmart Supercenter,Northbound NW 23rd ST @ Nearside NW 62nd AVE,6
3,Westbound SW 2nd Avenue @ SW 2nd Street,Westbound SW 2nd AVE @ Nearside SW 2nd ST,6
243,Verizon Shop,Southbound NW 13th ST @ Nearside NW 26th PL,6
1,Rosa Parks RTS Downtown Station,Northbound SE 3rd ST @ Nearside SE 3rd ST,6
1551,Social Security Administration,Southbound NW 13th ST @ Nearside NW 45th AVE,6
1290,Alachua County Courthouse,Eastbound SW 2nd AVE @ Nearside S Main ST,6
279,Granny D's,Southbound NW 6th ST @ Nearside NW 13th AVE,6
1221,Eastbound NW 23rd Avenue @ NW 13th Street,Eastbound NW 23rd AVE @ Farside NW 13th ST,6
320,Kangaroo @ SE 35th Street,Northbound SE 35th ST @ Nearside Hawthorne RD,7
307,Southeast Gator Liquor @ Hawthorne Road,Eastbound Hawthorne RD @ Farside SE 24th ST,7
314,Faith Missionary Church,Eastbound SE 21st AVE @ Nearside SE 30th Dr,7
312,Durelle Heights Neighborhood,Southbound SE 27th ST @ Farside SE 18th AVE,7
322,E Hawthorne Road @ SE 39th Terrace,Eastbound Hawthorne RD @ Farside SE 39th TER,7
1553,Health Department,Southbound SE 24th ST @ Farside SE 2nd AVE,7
347,SE 18th St @ E University Avenue,Westbound E University AVE @ Nearside SE 18th ST,7
326,Eastwood Meadows,Northbound SE 44th ST @ Farside SE 10th PL,7
107,Health Department,Southbound Alachua County Health Department @ Far*,7
341,Alachua County Sheriffs Department,Northbound SE 27th ST @ Nearside Hawthorne Rd,7
336,Faith Missionary Church,Westbound SE 21st AVE @ Farside SE 30th Dr,7
103,Northbound SE 24th Street @ E University Avenue,Northbound SE 24th ST @ Nearside E University AVE,7
111,Southbound SE 15th Street @ SE 4th Avenue,Southbound SE 15th ST @ Nearside SE 4th AVE,7
345,Harper's Pointe,Westbound E University AVE @Nearside 22nd ST,7
115,Williams Elementary School,Westbound SE 7th AVE @ Nearside SE 12th TER,7
437,All Star Automotive,Southbound NW 13th ST @ Nearside NW 7th AVE,8
1420,Southbound SW 13th ST @ SW 13th AVE,Southbound SW 13 ST @ SW 13th AVE,8
424,Girls Place of Alachua County,Eastbound NW 39th AVE @ Nearside NW 21st ST,8
414,Barnhill Clinic,Southbound NW 34th ST @ Nearside NW 29th ST,8
