"stop_id","stop_name","stop_desc"
"733","IBEW Local 1205","Southbound NW 6th ST @ Farside NW 26th AVE"
"782","Sugar Hill","Northbound SE 20th PL @ Nearside SE 4th ST"
"783","Chevron Gas Station @ Williston Road","Southbound Williston RD @ Farside SE 4th ST"
"784","Southbound Williston Road @ SE 1st Terrace","Southbound Williston RD @ Nearside SE 1st TER"
"785","Springhill Baptist Church","Southbound Williston RD @ Nearside SE 1st ST"
"786","Sweetwater on 16th Apartments Westbound","Westbound SE 16th AVE @ Farside SE Williston RD"
"787","Treehouse Village Apartments","Westbound SE 16th AVE @ Nearside S Main ST"
"788","Winn Dixie @ SW 16th Avenue","Westbound SW 16th AVE @ Nearside SW 6th ST"
"789","Sun Bay Apartments","Westbound SW 16th AVE @ Farside SW 6th ST"
"790","Parklands Rehab & Nursing Center","Westbound SW 16th AVE @ Farside SW 10th TER"
"791","Oakbrook Walk Condominiums @ SW 16th Avenue","Westbound SW 16th AVE @ Nearside SW 13th ST"
"794","Sai Quick Stop","Eastbound SW 16th AVE @ Farside SW 13th ST"
"795","The Retreat Apartments","Eastbound SW 16th AVE @ Farside SW 10th TER"
"796","Sun Bay Apartments","Eastbound SW 16th AVE @ Nearside SW 6th ST"
"773","Arbor Park Apartments","Eastbound SW 16th AVE @ Farside SW 6th ST"
"774","Treehouse Village Apartments","Eastbound SE 16th AVE @ Farside S Main ST"
"775","Sweetwater on 16th Apartments","Eastbound SE 16th AVE @ Nearside Williston RD"
"776","Spring Hill Church","Northbound Williston RD @ Farside SE 1st ST"
"1487","New RTS Maintenance Facility North","Northbound SE 1st St @ SE 13th AVE"
"1488","New RTS Maintenance Facility South","Southbound SE 1st St @ SE 13th AVE"
"171","Oaks Mall @ NW 62nd Blvd","Southbound NW 62nd ST @ Nearside NW 4th PL"
"172","Oaks Mall SW 62nd Blvd","Southbound NW 62nd ST @ Farside NW 1st PL"
"824","Hampton Oaks Apartments","Southbound SW 62nd BLVD @ Farside NW 1st PL"
"825","Fairmont Oaks Apartments","Southbound SW 62nd BLVD @ Farside NW 4th PL"
"827","Lakewood Villas Apartments","Southbound SW 62nd BLVD @ Farside SW 52nd St"
"828","Rockwood Villas Apartments","Southbound SW 62nd BLVD @ Nearside SW 9th PL"
"829","The District Apartments","Southbound SW 62nd BLVD @ Nearside SW 20th AVE"
"830","Cabana Beach Apartments","Eastbound SW 20th AVE @ Farside SW 52nd ST"
"832","Liv Apartments","Eastbound SW 20th AVE @ Farside SW 42nd DR"
"833","Addison Lane","Eastbound SW 20th AVE @ Nearside SW 40th TER"
"835","Kensington Apartments South","Eastbound SW 20th AVE @ Nearside SW 38th TER"
